  Class ,  z ,  b ,  c ,  H ,  Mem ,  Runs ,  Th ,  FP% ,  MinB ,  MaxB ,  AvgB ,  MinL ,  MaxL ,  AvgL ,  MinTime ,  MaxTime ,  AvgTime ,  MinHops ,  MaxHops ,  AvgHops ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  19  ,  19  ,  19.0  ,  4.333333333333333  ,  5.583333333333333  ,  5.167439999999236  ,  104  ,  134  ,  124.01856  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  4.2  ,  5.6  ,  5.1810188000009445  ,  105  ,  140  ,  129.52547  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  21  ,  21  ,  21.0  ,  4.076923076923077  ,  5.615384615384615  ,  5.191943846153434  ,  106  ,  146  ,  134.99054  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  22  ,  22  ,  22.0  ,  4.777777777777778  ,  5.62962962962963  ,  5.20410518518502  ,  129  ,  152  ,  140.51084  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  23  ,  23  ,  23.0  ,  4.678571428571429  ,  5.642857142857143  ,  5.214471071428745  ,  131  ,  158  ,  146.00519  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  24  ,  24  ,  24.0  ,  4.586206896551724  ,  5.655172413793103  ,  5.224160689655828  ,  133  ,  164  ,  151.50066  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  25  ,  25  ,  25.0  ,  4.5  ,  5.666666666666667  ,  5.232300666667256  ,  135  ,  170  ,  156.96902  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  26  ,  26  ,  26.0  ,  4.419354838709677  ,  5.67741935483871  ,  5.24287612903336  ,  137  ,  176  ,  162.52916  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  27  ,  27  ,  27.0  ,  4.34375  ,  5.6875  ,  5.251564375  ,  139  ,  182  ,  168.05006  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  28  ,  28  ,  28.0  ,  4.2727272727272725  ,  5.696969696969697  ,  5.25802636363526  ,  141  ,  188  ,  173.51487  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  29  ,  29  ,  29.0  ,  4.205882352941177  ,  5.705882352941177  ,  5.2649270588249815  ,  143  ,  194  ,  179.00752  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  30  ,  30  ,  30.0  ,  4.142857142857143  ,  5.714285714285714  ,  5.271381714285689  ,  145  ,  200  ,  184.49836  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  31  ,  31  ,  31.0  ,  4.083333333333333  ,  5.722222222222222  ,  5.277695555555629  ,  147  ,  206  ,  189.99704  ,
